Local time in Surabaya,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
23.04.2024 04:00,27.6,755.2,755.6,-0.7,95,"Calm, no wind",0,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,26.8,,,,,,
23.04.2024 01:00,28.6,755.9,756.2,-1.2,89,"Calm, no wind",0,,,"90  or more, but not 100%", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",50%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,26.7,,,,,,
22.04.2024 22:00,29.4,757.1,757.5,1.4,84,Wind blowing from the east-southeast,2,,,"90  or more, but not 100%",Thunderstorm (with or without precipitation). ,Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,300-600,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,26.5,,,,,,
22.04.2024 19:00,30.4,755.7,756.1,1.6,79,Wind blowing from the east-northeast,2,,,"90  or more, but not 100%", ,,,,33,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",50%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,26.4,,,,,,
22.04.2024 16:00,32.8,754.1,754.4,-1.1,66,Wind blowing from the east,1,,,"90  or more, but not 100%", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,25.6,,,,,,
22.04.2024 13:00,31.8,755.2,755.5,-2.4,68,Wind blowing from the west-northwest,5,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,25.1,,,,,,
22.04.2024 10:00,30.2,757.6,757.9,0.9,78,Wind blowing from the west-northwest,4,,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9,25.9,,,,,,
22.04.2024 07:00,26.8,756.7,757.1,1.1,93,"Calm, no wind",0,,,70 – 80%.,Clouds generally forming or developing. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,26.1,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,25.5,2,24,,,,
22.04.2024 04:00,26.4,755.6,755.9,-1.1,94,"Calm, no wind",0,,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",7,25.3,,,,,,
22.04.2024 01:00,26.7,756.7,757,-1,92,"Calm, no wind",0,,,"90  or more, but not 100%",Clouds generally dissolving or becoming less developed. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",7,25.2,0.7,6,,,,
21.04.2024 22:00,27.1,757.7,758,1,93,"Calm, no wind",0,,,100%.,"Rain, not freezing, intermittent, slight at time of observation. ",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,600-1000,Altostratus opacus or Nimbostratus.,,6,25.8,0.7,3,,,,
21.04.2024 19:00,28.2,756.7,757.1,1.2,84,"Calm, no wind",0,,,100%., ,,,,31.5,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,600-1000,Altostratus opacus or Nimbostratus.,,8,25.2,,,,,,
21.04.2024 16:00,29.7,755.5,755.8,-0.1,79,Wind blowing from the south-east,1,,,100%., ,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,600-1000,Altostratus opacus or Nimbostratus.,,9,25.7,,,,,,
21.04.2024 13:00,29.6,755.6,756,-1.1,81,Wind blowing from the north-west,1,,,100%.,Clouds generally forming or developing. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",70 – 80%.,600-1000,Altostratus opacus or Nimbostratus.,,10,25.9,0.9,6,,,,
21.04.2024 10:00,31.2,756.7,757,0.2,77,Wind blowing from the east,3,,,"90  or more, but not 100%",Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,26.7,0.9,3,,,,
21.04.2024 07:00,27.7,756.5,756.8,1.1,94,"Calm, no wind",0,,,"90  or more, but not 100%",Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,25.8,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,26.6,15,24,,,,
21.04.2024 04:00,26.4,755.4,755.7,-0.8,95,"Calm, no wind",0,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Thunderstorm(s) with or without precipitation.,Rain.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",5,25.6,6,3,,,,
21.04.2024 01:00,28.5,756.2,756.6,-0.5,93,"Calm, no wind",0,,,70 – 80%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,300-600,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",7,27.2,6,6,,,,
20.04.2024 22:00,30.2,756.7,757,1.2,81,Wind blowing from the east-northeast,2,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",7,26.5,,,,,,
20.04.2024 19:00,31,755.5,755.8,1.9,72,Wind blowing from the east-southeast,3,,,40%., ,,,,34.4,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",7,25.4,,,,,,
20.04.2024 16:00,33.4,753.6,753.9,-0.9,59,Wind blowing from the east-northeast,3,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",300-600,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11,24.2,,,,,,
20.04.2024 13:00,33.4,754.5,754.8,-1.7,60,Wind blowing from the east,3,,,50%., ,,,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",40%.,300-600,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11,24.7,,,,,,
20.04.2024 10:00,33.4,756.2,756.5,0,61,Wind blowing from the east,6,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12,24.8,,,,,,
20.04.2024 07:00,27.8,756.2,756.6,1.3,87,Wind blowing from the west-northwest,2,,,40%., ,,,26.4,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,25.4,Trace of precipitation,24,,,,
20.04.2024 04:00,27.8,754.9,755.2,-0.6,89,"Calm, no wind",0,,,"90  or more, but not 100%", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,25.9,,,,,,
20.04.2024 01:00,28.8,755.5,755.9,-1.3,88,"Calm, no wind",0,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,26.7,,,,,,
19.04.2024 22:00,29.4,756.8,757.1,1,86,Wind blowing from the south-east,1,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,26.8,,,,,,
19.04.2024 19:00,29.8,755.8,756.1,1.7,78,Wind blowing from the east,1,,,70 – 80%., ,,,,34.4,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,25.5,,,,,,
19.04.2024 16:00,29.9,754.1,754.4,-0.2,75,Wind blowing from the east,2,,,"90  or more, but not 100%", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,300-600,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9,24.9,,,,,,
19.04.2024 13:00,34.2,754.3,754.6,-2.4,57,Wind blowing from the east-southeast,2,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,24.5,,,,,,
