Po,N,VV,U
756.1,50%.,10,74
756.4,"90  or more, but not 100%",9,91
755.2,70 – 80%.,8,92
755.3,"90  or more, but not 100%",8,91
756.9,"90  or more, but not 100%",8,91
755.5,100%.,7,91
754.5,100%.,9,79
754.7,100%.,10,72
756.5,100%.,8,79
756.1,100%.,8,94
755.1,"90  or more, but not 100%",8,96
755.7,100%.,8,94
757,100%.,8,94
755.7,"90  or more, but not 100%",9,76
754.4,"90  or more, but not 100%",10,72
754.9,"90  or more, but not 100%",10,60
756.1,70 – 80%.,10,61
756.5,"90  or more, but not 100%",10,85
755.4,70 – 80%.,7,91
755.7,"90  or more, but not 100%",7,89
756.5,"90  or more, but not 100%",7,87
756.4,"90  or more, but not 100%",7,84
754.3,"90  or more, but not 100%",10,68
754.9,"90  or more, but not 100%",11,64
757,"90  or more, but not 100%",10,68
756.7,"90  or more, but not 100%",8,81
755.8,70 – 80%.,8,80
755.4,70 – 80%.,8,74
756.5,70 – 80%.,8,76
755.4,50%.,8,73
753.8,70 – 80%.,12,53
754.9,70 – 80%.,12,53
756.6,"90  or more, but not 100%",10,57
757.3,70 – 80%.,10,68
755.7,70 – 80%.,7,77
755.9,100%.,7,82
756.6,70 – 80%.,8,67
755.5,70 – 80%.,9,75
753.3,70 – 80%.,10,54
754.6,40%.,12,53
756.1,20–30%.,12,58
756.1,20–30%.,10,78
755.1,40%.,8,78
755.4,60%.,8,76
756.2,"90  or more, but not 100%",9,78
755.3,"90  or more, but not 100%",9,77
754,60%.,11,56
754.7,60%.,11,54
756.2,60%.,10,61
756.5,60%.,9,86
755,50%.,8,91
756,50%.,8,88
757.2,50%.,9,76
756.1,"90  or more, but not 100%",9,74
754,70 – 80%.,11,70
755.2,70 – 80%.,12,55
756.7,40%.,11,65
756.6,50%.,9,87
755.7,70 – 80%.,8,95
755.9,100%.,8,84
757,100%.,8,85
755.8,70 – 80%.,8,76
754,"90  or more, but not 100%",10,72
754.7,50%.,12,54
756.5,70 – 80%.,11,71
756.5,"90  or more, but not 100%",9,93
755.9,70 – 80%.,8,94
756.4,70 – 80%.,8,91
757.1,"90  or more, but not 100%",8,94
756.3,100%.,8,94
755.5,100%.,7,75
754.9,60%.,12,56
757,50%.,11,63
757.5,50%.,9,91
756.6,40%.,8,94
757,40%.,8,89
758.2,50%.,8,87
758,50%.,8,82
756.2,"90  or more, but not 100%",9,72
756.5,"90  or more, but not 100%",10,70
758.6,"90  or more, but not 100%",10,76
758.4,70 – 80%.,10,88
756.9,"90  or more, but not 100%",7,92
756.7,"90  or more, but not 100%",7,93
758.2,"90  or more, but not 100%",7,93
757.6,100%.,7,85
756.4,100%.,10,81
757.1,100%.,10,82
758.2,100%.,10,74
758.1,"90  or more, but not 100%",10,87
756.7,100%.,8,89
756.5,100%.,8,90
758.1,"90  or more, but not 100%",8,78
757.3,70 – 80%.,8,70
755.2,70 – 80%.,10,63
756.2,100%.,10,74
758.2,100%.,10,88
758,100%.,9,89
756.9,70 – 80%.,7,91
757.1,70 – 80%.,7,89
758.2,70 – 80%.,8,87
758.1,70 – 80%.,9,78
756.1,"90  or more, but not 100%",10,69
756.4,60%.,10,65
757.7,"90  or more, but not 100%",10,69
758.1,100%.,6,88
756.9,50%.,8,86
757.3,50%.,8,85
757.4,"90  or more, but not 100%",9,81
755.3,100%.,10,75
756.3,"90  or more, but not 100%",10,62
757.5,60%.,10,70
757.5,40%.,9,85
756.1,50%.,8,97
756.1,50%.,8,94
757.6,50%.,8,93
756.7,70 – 80%.,8,88
755.5,100%.,9,84
755.8,"90  or more, but not 100%",7,89
757.3,"90  or more, but not 100%",10,77
756.8,"90  or more, but not 100%",8,89
755.8,40%.,8,85
756.2,40%.,8,82
757,20–30%.,8,82
756,40%.,8,78
754.3,70 – 80%.,10,64
755.1,"90  or more, but not 100%",12,54
757,"90  or more, but not 100%",11,69
757,50%.,10,81
755.9,40%.,8,85
756.7,60%.,8,87
757.6,60%.,8,85
756.5,70 – 80%.,8,81
755.2,"90  or more, but not 100%",9,72
756.5,100%.,10,55
757.8,60%.,12,73
757.2,50%.,10,89
756.3,60%.,8,93
756.8,"90  or more, but not 100%",8,84
