Local time in Surabaya,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
28.10.2023 04:00,26.3,757.7,758.1,0.0,83,"Calm, no wind",0,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",7.0,23.1,,,,,,
28.10.2023 01:00,27.9,757.7,758.0,-1.1,77,"Calm, no wind",0,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",7.0,23.6,,,,,,
27.10.2023 22:00,29.6,758.8,759.1,1.5,77,Wind blowing from the east-southeast,3,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,25.2,,,,,,
27.10.2023 19:00,30.6,757.3,757.7,1.1,67,Wind blowing from the east-southeast,5,,,40%., ,,,,36.8,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,23.9,,,,,,
27.10.2023 16:00,33.5,756.2,756.5,-0.7,53,Wind blowing from the east-northeast,3,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,22.5,,,,,,
27.10.2023 13:00,36.6,756.9,757.2,-2.2,41,Wind blowing from the east,4,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altostratus translucidus.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",12.0,21.4,,,,,,
27.10.2023 10:00,32.4,759.1,759.4,-0.4,61,Wind blowing from the north-east,2,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altostratus opacus or Nimbostratus.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",12.0,24.0,,,,,,
27.10.2023 07:00,27.4,759.5,759.8,1.3,78,Wind blowing from the south-west,1,,,50%., ,,,26.4,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altostratus translucidus.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,23.3,,,,,,
27.10.2023 04:00,26.8,758.2,758.5,-0.2,80,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,8.0,23.1,,,,,,
27.10.2023 01:00,28.5,758.4,758.7,-0.8,75,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,8.0,23.7,,,,,,
26.10.2023 22:00,30.0,759.2,759.5,1.2,74,Wind blowing from the east-southeast,5,,,no clouds, ,,,,,,,,,,8.0,24.9,,,,,,
26.10.2023 19:00,31.6,758.0,758.3,1.5,66,Wind blowing from the south-east,5,,,"10%  or less, but not 0", ,,,,37.4,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,24.4,,,,,,
26.10.2023 16:00,34.1,756.5,756.9,-0.5,57,Wind blowing from the east,4,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",12.0,24.4,,,,,,
26.10.2023 13:00,36.8,757.0,757.3,-2.4,39,Wind blowing from the east,4,,,40%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,20.8,,,,,,
26.10.2023 10:00,33.3,759.4,759.8,-0.5,57,Wind blowing from the west-northwest,3,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,23.6,,,,,,
26.10.2023 07:00,28.3,759.9,760.3,1.2,74,"Calm, no wind",0,,,40%., ,,,25.6,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,23.2,,,,,,
26.10.2023 04:00,26.8,758.7,759.0,-0.1,79,Wind blowing from the west,2,,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,22.9,,,,,,
26.10.2023 01:00,28.4,758.8,759.1,-0.9,72,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,22.9,,,,,,
25.10.2023 22:00,29.6,759.7,760.0,1.1,66,Wind blowing from the south-east,2,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,22.7,,,,,,
25.10.2023 19:00,30.4,758.6,759.0,1.9,63,Wind blowing from the east-southeast,5,,,20–30%., ,,,,36.6,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,22.7,,,,,,
25.10.2023 16:00,34.0,756.7,757.0,-0.9,43,Wind blowing from the south-east,9,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,19.8,,,,,,
25.10.2023 13:00,36.4,757.6,757.9,-2.1,40,Wind blowing from the east,8,,,40%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,20.8,,,,,,
25.10.2023 10:00,33.2,759.7,760.0,-0.4,50,Wind blowing from the east-northeast,6,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,21.5,,,,,,
25.10.2023 07:00,28.2,760.1,760.5,1.3,76,"Calm, no wind",0,,,50%., ,,,27.2,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,23.5,,,,,,
25.10.2023 04:00,27.7,758.8,759.2,0.3,83,"Calm, no wind",0,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,24.6,,,,,,
25.10.2023 01:00,28.3,758.5,758.8,-0.9,79,Wind blowing from the east-northeast,2,,,no clouds, ,,,,,,,,,,8.0,24.4,,,,,,
24.10.2023 22:00,29.3,759.4,759.7,0.9,78,Wind blowing from the east-northeast,2,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,25.1,,,,,,
24.10.2023 19:00,30.6,758.5,758.8,2.3,73,Wind blowing from the west-northwest,3,,,20–30%., ,,,,36.6,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,25.2,,,,,,
24.10.2023 16:00,34.1,756.2,756.5,-0.7,47,Wind blowing from the east,5,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,21.4,,,,,,
24.10.2023 13:00,35.2,756.9,757.2,-2.7,45,Wind blowing from the east,6,,,40%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,21.6,,,,,,
24.10.2023 10:00,32.4,759.6,759.9,-0.2,62,Wind blowing from the east,3,,,"90  or more, but not 100%", ,,,,,Stratocumulus cumulogenitus.,50%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,24.3,,,,,,
24.10.2023 07:00,28.6,759.8,760.2,1.6,75,Wind blowing from the west-northwest,2,,,70 – 80%.,Clouds generally dissolving or becoming less developed. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,26.4,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,23.7,Trace of precipitation,24,,,,
24.10.2023 04:00,28.0,758.2,758.5,-0.4,84,"Calm, no wind",0,,,"90  or more, but not 100%",Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,25.0,Trace of precipitation,3,,,,
24.10.2023 01:00,28.6,758.6,758.9,-0.4,76,"Calm, no wind",0,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.0,,,,,,
23.10.2023 22:00,29.2,759.0,759.2,1.1,72,"Calm, no wind",0,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,23.7,,,,,,
23.10.2023 19:00,30.8,757.9,758.3,1.7,68,Wind blowing from the east-northeast,2,,,70 – 80%., ,,,,34.8,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.3,,,,,,
23.10.2023 16:00,33.0,756.2,756.5,-1.6,57,Wind blowing from the east,2,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,23.5,,,,,,
23.10.2023 13:00,34.8,757.8,758.1,-2.2,50,Wind blowing from the south-southeast,4,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,22.8,,,,,,
23.10.2023 10:00,32.4,760.0,760.3,-0.2,56,Wind blowing from the south-southeast,3,,,40%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,22.5,,,,,,
23.10.2023 07:00,28.0,760.2,760.6,1.3,74,"Calm, no wind",0,,,50%., ,,,26.5,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,23.0,,,,,,
23.10.2023 04:00,27.8,758.9,759.2,0.3,76,"Calm, no wind",0,,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,23.1,,,,,,
23.10.2023 01:00,28.6,758.6,758.9,-1.1,83,"Calm, no wind",0,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,25.4,,,,,,
22.10.2023 22:00,29.2,759.7,760.0,1.4,79,"Calm, no wind",0,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,25.2,,,,,,
22.10.2023 19:00,30.5,758.3,758.6,2.0,74,Wind blowing from the west-northwest,1,,,"10%  or less, but not 0", ,,,,36.6,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,25.3,,,,,,
22.10.2023 16:00,33.6,756.3,756.6,-1.1,52,Wind blowing from the east-northeast,3,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,22.3,,,,,,
22.10.2023 13:00,36.0,757.4,757.7,-2.4,41,Wind blowing from the south-southeast,2,,,40%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,20.9,,,,,,
22.10.2023 10:00,32.8,759.8,760.2,-0.6,56,Wind blowing from the east,5,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,22.9,,,,,,
22.10.2023 07:00,27.8,760.4,760.7,1.5,73,Wind blowing from the south,1,,,20–30%., ,,,26.6,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,22.5,,,,,,
22.10.2023 04:00,27.4,758.9,759.2,0.2,77,"Calm, no wind",0,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,23.0,,,,,,
22.10.2023 01:00,28.8,758.7,759.0,-1.0,84,Wind blowing from the south-east,3,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,25.9,,,,,,
21.10.2023 22:00,28.8,759.7,760.0,1.2,80,Wind blowing from the east-northeast,2,,,40%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,25.0,,,,,,
21.10.2023 19:00,31.2,758.5,758.8,2.0,67,Wind blowing from the south-east,4,,,40%., ,,,,36.4,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.4,,,,,,
